,X,name,date,burn,Planet,Sentinel-2
1,1,BL4,2021-04-01,burned,0.999178728,1.000642996
2,2,BL4,2021-04-11,burned,0.997978986,1.000561738
3,3,BL4,2021-04-26,burned,1.000128865,1.000817639
4,4,BL4,2021-05-06,burned,1.000113259,1.000642996
5,5,BL4,2021-06-05,burned,0.213862398,0.166238395
6,6,BL4,2021-06-10,burned,0.065914839,0.018574261
7,7,BL4,2021-06-15,burned,0.002804776,0.003267581
8,8,Aspen,2021-04-01,partially burned,0.991061686,0.994869854
9,9,Aspen,2021-04-11,partially burned,0.710609407,0.908673451
10,10,Aspen,2021-04-26,partially burned,0.896042992,0.943494091
11,11,Aspen,2021-05-06,partially burned,0.919304372,0.854853231
12,12,Aspen,2021-06-05,partially burned,0.530654442,0
13,13,Aspen,2021-06-10,partially burned,1.20E-05,0
14,14,Aspen,2021-06-15,partially burned,0,0
15,15,Tunnel,2021-04-01,burned,0.993152147,0.977448287
16,16,Tunnel,2021-04-11,burned,0.757115262,0.838543821
17,17,Tunnel,2021-04-26,burned,0.86487305,0.836254316
18,18,Tunnel,2021-05-06,burned,0.818323821,0.774635073
19,19,Tunnel,2021-06-05,burned,0.114343764,0.024291174
20,20,Tunnel,2021-06-10,burned,4.43E-05,0
21,21,Tunnel,2021-06-15,burned,0,0
22,22,Michigan trib,2021-04-01,unburned,0.993853139,0.9801495
23,23,Michigan trib,2021-04-11,unburned,0.999855532,0.928081888
24,24,Michigan trib,2021-04-26,unburned,0.992392429,NA
25,25,Michigan trib,2021-05-06,unburned,0.99575595,0.999933713
26,26,Michigan trib,2021-06-05,unburned,0.765459165,0.606185378
27,27,Michigan trib,2021-06-10,unburned,0.616309392,0.247813131
28,28,Michigan trib,2021-06-15,unburned,0.015463662,0.024597693
29,29,Montgomery,2021-04-01,partially burned,0.9988669,0.99559895
30,30,Montgomery,2021-04-11,partially burned,0.998610129,0.98978348
31,31,Montgomery,2021-04-26,partially burned,0.999569699,NA
32,32,Montgomery,2021-05-06,partially burned,0.99889259,1.000004479
33,33,Montgomery,2021-06-05,partially burned,0.608467569,0.550810894
34,34,Montgomery,2021-06-10,partially burned,0.517214659,0.239808167
35,35,Montgomery,2021-06-15,partially burned,0.045055811,0.035822464
36,36,Mt. Campus,2021-04-01,unburned,0.969711297,0.975517927
37,37,Mt. Campus,2021-04-11,unburned,0.892063313,0.83160021
38,38,Mt. Campus,2021-04-26,unburned,0.820950945,0.952563722
39,39,Mt. Campus,2021-05-06,unburned,NA,0.990954857
40,40,Mt. Campus,2021-06-05,unburned,0.732613699,0.641917033
41,41,Mt. Campus,2021-06-10,unburned,0.534586484,0.241903651
42,42,Mt. Campus,2021-06-15,unburned,0.190976024,0.120424551
